Date (GMT),"Time (GMT, h)",Hypernav_site,lat,lon,insitu_Rrs380,insitu_Rrs412,insitu_Rrs443,insitu_Rrs490,insitu_Rrs530,insitu_Rrs565,insitu_Rrs670,sgli_Rrs380_mean,sgli_Rrs412_mean,sgli_Rrs443_mean,sgli_Rrs490_mean,sgli_Rrs530_mean,sgli_Rrs565_mean,sgli_Rrs670_mean,sgli_Rrs380_std,sgli_Rrs412_std,sgli_Rrs443_std,sgli_Rrs490_std,sgli_Rrs530_std,sgli_Rrs565_std,sgli_Rrs670_std,,,,,,,,,,,,,,
7/28/22,8.218611111,CR001,36.17739868,24.89039993,0.007778331,0.008301005,0.008191314,0.005609119,0.002159211,0.001192744,0.000104774,0.01057424,0.01026276,0.00985688,0.00683184,0.00294852,0.00142452,0.000072,7.95584E-05,6.11812E-05,6.61479E-05,3.37872E-05,2.17405E-05,1.18021E-05,0,,,,,,,,,,,,,,
3/26/23,10.47666667,CR002,35.89410019,25.50900078,0.006272753,0.005787193,0.005662283,0.004737957,0.002360941,0.001427491,0.000143484,0.00238448,0.00339056,0.00328628,0.0037516,0.00116492,0.00067592,0.00011504,0.000469947,0.000317385,0.000272855,0.000211834,0.000165691,0.000176779,1.04095E-05,,,,,,,,,,,,,,
3/27/23,10.50194444,CR002,35.89849854,25.5814991,0.006606571,0.006041759,0.005787976,0.004834064,0.002392771,0.001427694,0.000134034,0.0081146,0.00686304,0.00613804,0.00529204,0.00275364,0.00146652,0.00011952,7.46919E-05,4.67174E-05,8.01646E-05,5.15205E-05,4.04513E-05,2.13206E-05,2.74401E-06,,,,,,,,,,,,,,
3/30/23,10.46305556,CR002,35.82149887,25.79019928,0.006200291,0.005804498,0.005821281,0.004796046,0.002315823,0.001417293,0.000147586,0.0020688,0.00319744,0.00308724,0.00361736,0.00113984,0.00075584,0.00013612,0.000123923,9.57125E-05,9.84278E-05,3.71665E-05,4.30271E-05,2.18168E-05,2.59723E-06,,,,,,,,,,,,,,
3/31/23,10.49055556,CR002,35.77659988,25.80450058,0.006097268,0.005748954,0.005865451,0.004757189,0.002225242,0.001328411,0.000131984,0.00689128,0.00659452,0.00649916,0.00517432,0.00269932,0.00144844,0.00012804,5.70049E-05,5.58978E-05,9.66518E-05,3.91711E-05,4.31154E-05,2.83832E-05,3.54942E-06,,,,,,,,,,,,,,
4/15/23,22.67583333,SD001,33.42110062,-119.4682007,0.002820664,0.002666753,0.002756071,0.003330653,0.003430629,0.002970501,0.000384522,-0.0001026,0.00197636,0.00187348,0.00434404,0.003046,0.00326992,0.00042304,4.12631E-05,9.02919E-05,8.05586E-05,0.000117771,0.000101071,0.00013714,1.62861E-05,,,,,,,,,,,,,,
4/29/23,10.28,CR002,35.75289917,25.23559952,0.008198231,0.008431882,0.008432884,0.006377625,0.002682578,0.001529688,0.000143596,0.00274188,0.005642,0.00575308,0.00595276,0.00154204,0.000886,7E-05,7.27062E-05,5.12234E-05,4.57742E-05,3.81285E-05,2.95018E-05,2.39633E-05,1.35525E-20,,,,,,,,,,,,,,
5/8/23,19.97472222,SD001,33.76179886,-119.2605972,0.003039045,0.00287631,0.003072664,0.003307373,0.0026459,0.001913256,0.000211218,0.0017808,0.0010758,0.00103828,0.00407056,0.00167488,0.00189836,0.00029012,0.00178222,0.001041188,0.000448426,0.000158892,8.42251E-05,6.01477E-05,1.50448E-05,,,,,,,,,,,,,,
4/24/22,21.76305556,HI007,19.8416996,-156.7312927,0.01220587,0.011075259,0.008974896,0.00588046,0.002165516,0.001158937,0.00012115,0.0097072,0.00948064,0.00781564,0.00669164,0.00210964,0.0008502,7E-05,0.000720023,0.001194232,0.000493517,0.001913563,0.000281872,0.000248974,1.35525E-20,,,,,,,,,,,,,,
5/1/22,21.86333333,HI007,18.9340992,-156.9118958,0.013456789,0.012144816,0.009547065,0.005878707,0.002030358,0.001065706,0.000109553,0.01174364,0.01085528,0.00885624,0.00616492,0.00189676,0.00083228,7E-05,0.000261085,0.00027074,0.000157598,0.000100339,6.4836E-05,6.76177E-06,1.35525E-20,,,,,,,,,,,,,,
5/9/22,21.10055556,HI007,19.17499924,-156.8177032,0.012265612,0.01094088,0.008671165,0.00561089,0.002020216,0.001084419,0.000110071,0.01102128,0.01039392,0.00903372,0.0062724,0.00254208,0.00074892,7E-05,8.53686E-05,9.56564E-05,9.80422E-05,9.256E-05,6.71362E-05,6.9508E-06,1.35525E-20,,,,,,,,,,,,,,
