year,month,day,lat(degree),lon(degree),hypernav_time(h),sza(degree),insitu_Rrs380(1/sr),insitu_Rrs412(1/sr),insitu_Rrs443(1/sr),insitu_Rrs490(1/sr),insitu_Rrs530(1/sr),insitu_Rrs565(1/sr),insitu_Rrs670(1/sr),insitu_Rrs380_uncertainty(1/sr),insitu_Rrs412_uncertainty(1/sr),insitu_Rrs443_uncertainty(1/sr),insitu_Rrs490_uncertainty(1/sr),insitu_Rrs530_uncertainty(1/sr),insitu_Rrs565_uncertainty(1/sr),insitu_Rrs670_uncertainty(1/sr),sgli_time(h),sgli_sza(degree),sgli_vza(degree),sgli_Rrs380_mean(1/sr),sgli_Rrs412_mean(1/sr),sgli_Rrs443_mean(1/sr),sgli_Rrs490_mean(1/sr),sgli_Rrs530_mean(1/sr),sgli_Rrs565_mean(1/sr),sgli_Rrs670_mean(1/sr),sgli_Rrs380_std(1/sr),sgli_Rrs412_std(1/sr),sgli_Rrs443_std(1/sr),sgli_Rrs490_std(1/sr),sgli_Rrs530_std(1/sr),sgli_Rrs565_std(1/sr),sgli_Rrs670_std(1/sr),taua670,taua865
2024.0,6.0,26.0,19.2885,-157.5783,22.796666666666667,5.243858337402344,0.008536707609891891,0.00757738808169961,0.005299366544932127,0.0032955282367765903,0.0011634941911324859,0.0006226366385817528,6.971376569708809e-05,0.00025310192722827196,0.00022268480097409338,0.00015237461775541306,8.688311208970845e-05,3.087946606683545e-05,1.711826553218998e-05,3.504898359096842e-06,20.766666666666666,24.72066666666667,28.620000000000005,0.022589239809248183,0.017512711178925302,0.013548905650774637,0.008131310550702943,0.0032257276276747384,0.0016278230274717014,7.487228140234947e-05,0.00029406050243607274,0.00023614567972314766,0.00014622101050427096,0.00010776892932350535,6.575100623005993e-05,6.258501768097607e-05,0.0,0.09727777533333333,0.07875555444444444
2024.0,4.0,27.0,19.5944,-156.2577,19.17027777777778,46.15626907348633,0.014683897607028484,0.013135665096342564,0.009404628537595272,0.006186991464346647,0.00224192813038826,0.0012088624062016606,0.00012962085020262748,0.0004395954019855708,0.00038848683470860124,0.00027021151618100703,0.00016266947204712778,6.0160346038173884e-05,3.397284308448434e-05,5.284107373881852e-06,20.6,25.629555555555555,39.364000000000004,0.023030269477102492,0.017958624495400324,0.01430374032093419,0.008488194396098455,0.0034102415665984154,0.0019215777930286196,7.819989696145058e-05,0.00028588943187217165,0.0003891306338144697,0.00041690011353289456,0.00023564944022145555,0.0003026274074476045,0.00020871472562335058,0.0,0.0972777751111111,0.08553333255555555
2024.0,5.0,22.0,19.4942,-156.271,22.622777777777777,3.8281402587890625,0.016118163242936134,0.013875366188585758,0.009601293131709099,0.0062052966095507145,0.0022390070371329784,0.0011944955913349986,0.00012285058619454503,0.0004813189443666488,0.00041127688018605113,0.0002790905418805778,0.00016616973152849823,6.142814527265728e-05,3.413300510146655e-05,5.728729775000829e-06,21.216666666666665,15.664,31.232000000000003,0.011302568225397004,0.010735669690701697,0.00982843442923493,0.006571294946802987,0.0028819874342944887,0.0007381351250741216,6.988085806369781e-05,0.0002360577015717687,0.00013733602892689387,0.00013894585568714155,4.959376410540471e-05,4.453737207310004e-05,4.14451966789246e-06,0.0,0.17337777499999998,0.22018888111111112
2024.0,6.0,25.0,19.4065,-157.5581,22.810555555555556,5.3528900146484375,0.013494695536792278,0.012507623061537743,0.009218953549861908,0.0061007775366306305,0.002239454537630081,0.0012125030625611544,0.00012145312939537689,0.00040817304397933185,0.0003746272122953087,0.00027110351948067546,0.00016613738262094557,6.313726044027135e-05,3.580491102184169e-05,5.917502676311415e-06,21.216666666666665,18.60811111111111,23.168999999999997,0.008638592229949104,0.008924435203274092,0.008620128035545349,0.00606896345400148,0.002711655261615912,0.0007506549979249636,6.988085806369781e-05,0.00013539452401559448,0.00012758619691052161,8.698582326996129e-05,4.2706904232223705e-05,3.452326111921428e-05,3.2422562796826753e-06,0.0,0.05159999888888889,0.09691110833333333
2024.0,5.0,8.0,19.6464,-156.8033,22.593333333333334,3.61175537109375,0.008541557937860489,0.00756839569658041,0.0058082519099116325,0.0046782237477600574,0.00225158897228539,0.0013272189535200596,0.00013389544619712979,0.0002623993204906583,0.00022844559862278402,0.00017107978055719286,0.00012599764158949256,6.162383942864835e-05,3.790251867030747e-05,5.760752173955552e-06,20.733333333333334,23.249,29.740000000000002,0.015647871212826833,0.012315713490049044,0.010266248964601092,0.006582472369902664,0.0028563999674386447,0.0014845394115481111,7.847706890768475e-05,0.0010338983000382968,0.0009118007665817826,0.0007217184650802973,0.00029810430483580026,3.317567943852291e-05,1.6644973435427387e-05,4.9294447799386985e-06,0.06282222133333332,0.050255555
2024.0,6.0,3.0,20.1122,-156.0444,22.961388888888887,8.530982971191406,0.015940161421895027,0.013688941486179829,0.009586688131093979,0.006232720334082842,0.0022756990510970354,0.0012191809946671128,0.00012892544327769428,0.00047839534818194807,0.0004075074102729559,0.00027938844868913293,0.0001670607307460159,6.223675882210955e-05,3.480824307189323e-05,5.448357569548534e-06,20.916666666666668,19.984,1.9296666666666669,0.012754859816696908,0.01057805431385835,0.008992607187893655,0.005747115653422143,0.0021483591861195033,0.0005331791212989225,7.025048964553409e-05,0.00039844476129350076,0.00038230821747300324,0.0004345924366294872,0.00038485883940335403,0.0003644925245339363,0.00029128078478040254,4.132606718083455e-07,0.02512222211111111,0.033744444
2024.0,5.0,15.0,19.3552,-157.1014,22.69,3.9375686645507812,0.01723390258848667,0.015011539682745934,0.010375277139246464,0.006694882642477751,0.002407672116532922,0.0012926305644214153,0.00013534682511817664,0.0005166099290363491,0.0004464901867322624,0.00030281185172498226,0.00018036144319921732,6.64958351990208e-05,3.716725768754259e-05,5.805779892398277e-06,20.983333333333334,19.820999999999998,3.168,0.011998701840639114,0.010643031034204695,0.009274801653292444,0.0061968570161196924,0.0023075107795496783,0.0007999620089928309,6.988085806369781e-05,0.0001459802263693313,0.00011916879630176291,7.503973831163099e-05,5.418934493852346e-05,7.088773463599422e-05,6.935664704028568e-06,0.0,0.043666666444444446,0.06564444344444445
2024.0,6.0,21.0,19.8628,-157.3842,22.744722222222222,4.7011260986328125,0.011480811052024364,0.010728558525443077,0.008412421680986881,0.005816376302391291,0.002224527532234788,0.00120833411347121,0.00011773189908126369,0.0003538008313626051,0.0003265048726461828,0.00025075284065678716,0.00016069048433564603,6.441966979764402e-05,3.707228461280465e-05,5.523004801943898e-06,21.316666666666666,16.828,33.330000000000005,0.008531641422046555,0.008140983680884043,0.00800298878716098,0.005820197674135367,0.0025011038200722802,0.0007796363594631354,6.988085806369781e-05,0.00010632321467446641,0.00010046741867442412,8.253770740119154e-05,3.125061679746008e-05,4.0778914593766676e-05,3.568424443821779e-06,0.0,0.08954444266666667,0.11729999688888888
2024.0,5.0,27.0,19.5808,-156.1579,22.678611111111113,4.810371398925781,0.01615462452173233,0.013973795808851719,0.00950944796204567,0.005952510517090559,0.002096850425004959,0.0011170238722115755,0.00011642891331575811,0.0005827611312270164,0.0005132119986228645,0.000355499709257856,0.00022090393758844584,8.227577927755192e-05,4.5193442929303274e-05,5.134746061230544e-06,20.683333333333334,23.255000000000003,29.98,0.02117866050038073,0.016727637292610273,0.013146210254894363,0.007838767125374742,0.003208694462147024,0.0016629098293681939,7.653608918190002e-05,0.0003629710780994682,0.00027332599573567153,0.0001723490464174136,8.1612747446416e-05,3.844822153243229e-05,2.1081290132846513e-05,0.0,0.04796666555555556,0.03553333266666667
2025.0,7.0,1.0,19.916,-156.2398,22.604166666666668,3.550262451171875,0.01730525679886341,0.015350967645645142,0.010446019470691681,0.0063592190854251385,0.0022196206264197826,0.0011815342586487532,0.00012091711687389761,0.0005177142447791994,0.0004551949677988887,0.00030414265347644687,0.00017102509445976466,6.155652226880193e-05,3.4287273592781276e-05,4.61315630673198e-06,20.866666666666667,22.227888888888895,8.693,0.01707193089856042,0.014072922782765495,0.010611657260192765,0.006553741171956062,0.0021251729275617334,0.0009639575146138668,7.154466584324837e-05,0.00018035826087415153,0.00013053542904352118,0.00011680624324703236,5.177685969263454e-05,9.366695442452182e-05,2.5211985257296508e-05,0.0,0.09997777611111111,0.09322222055555557
