Date(GMT),"Time (GMT,h)",Hypernav_site,lat,lon,insitu_Rrs380,insitu_Rrs412,insitu_Rrs443,insitu_Rrs490,insitu_Rrs530,insitu_Rrs565,insitu_Rrs670,sgli_Rrs380_mean,sgli_Rrs412_mean,sgli_Rrs443_mean,sgli_Rrs490_mean,sgli_Rrs530_mean,sgli_Rrs565_mean,sgli_Rrs670_mean,sgli_Rrs380_std,sgli_Rrs412_std,sgli_Rrs443_std,sgli_Rrs490_std,sgli_Rrs530_std,sgli_Rrs565_std,sgli_Rrs670_std
5/8/24,9.95,CR,35.68259811,25.36919975,0.009079779,0.01133581,0.010309463,0.007524529,0.003058497,0.001717461,0.000149493,0.0107289,0.00968932,0.009781603,0.006856292,0.003026456,0.001526792,7.39E-05,6.27E-05,5.88E-05,3.97E-05,2.14E-05,2.54E-05,1.68E-05,2.70E-07
5/12/24,9.941666667,CR,35.81549835,25.63220024,0.0090397,0.011027829,0.009902758,0.007423267,0.003266926,0.001870412,0.000176474,0.008994788,0.00875094,0.009336947,0.006640812,0.003059006,0.001470118,8.41E-05,0.000186332,0.000243517,0.000215523,0.000105748,3.33E-05,2.69E-05,4.31E-06
6/30/24,10.05,CR,35.457901,25.4965992,0.008641529,0.010861233,0.009190553,0.006226431,0.002350408,0.001286034,0.000129938,0.011494368,0.011013909,0.010895932,0.007245905,0.002445001,0.00125995,7.34E-05,0.000196398,0.00023509,0.000179723,5.10E-05,3.77E-05,3.09E-05,3.74E-07
5/15/24,9.966666667,CR,35.88270187,25.74440002,0.008532754,0.010767651,0.009840048,0.00741063,0.003164113,0.001833277,0.000161696,0.004037289,0.004833738,0.005169627,0.004636618,0.000490151,0.00024425,6.91E-05,0.000597105,0.000454512,0.000381499,0.000283939,0.000261788,0.000196765,1.63E-07
5/31/24,9.813888889,CR,36.14690018,25.9260006,0.007807265,0.009726681,0.008639731,0.006335026,0.002594766,0.001452885,0.000143448,0.010071066,0.010002435,0.010606992,0.007276729,0.00295868,0.001608756,7.40E-05,7.76E-05,6.50E-05,5.04E-05,4.35E-05,3.91E-05,2.11E-05,0
6/29/24,10.08333333,CR,35.4618988,25.53510094,0.008953923,0.011322717,0.009597687,0.006456623,0.002407515,0.001317655,0.000132274,0.006458583,0.007926744,0.00805389,0.006439157,0.001770081,0.000835497,6.99E-05,0.000111242,0.000120157,5.92E-05,4.13E-05,4.00E-05,2.81E-06,0
5/7/24,9.966666667,CR,35.68009949,25.33180046,0.008461742,0.010897975,0.010266591,0.007821564,0.003262223,0.001847499,0.000176678,0.004403267,0.005946109,0.006018089,0.006178073,0.001424234,0.001379585,7.12E-05,0.000268355,5.71E-05,4.67E-05,5.24E-05,1.22E-05,3.52E-05,4.61E-06
6/25/24,10.09166667,CR,35.4612999,25.59700012,0.012280767,0.015004854,0.012628303,0.008516228,0.003410186,0.001989578,0.00017908,0.004472855,0.00676096,0.007405501,0.006331339,0.001734802,0.000845513,6.99E-05,0.000157719,0.0001274,9.46E-05,3.53E-05,2.61E-05,2.40E-06,0
5/19/24,9.975,CR,36.04069901,25.76280022,0.006936304,0.008470016,0.007621586,0.00583159,0.002538315,0.001454832,0.000145403,-0.00037257,0.003260368,0.006034972,0.006187204,0.00289031,0.002413147,0.000171041,3.56E-05,0.000130183,0.000184925,0.000132691,0.000105108,9.37E-05,6.21E-06
5/1/23,20.05,SD,33.70500183,-119.2919006,0.004379306,0.004585131,0.004435539,0.005054636,0.004292377,0.003247498,0.000480546,0.004157603,0.003501556,0.003633795,0.003768377,0.003128862,0.001956559,0.000306875,0.000170948,0.000120742,0.000113671,6.36E-05,6.61E-05,6.16E-05,1.39E-05
5/8/23,20.20833333,SD,33.76179886,-119.2605972,0.003119769,0.003191418,0.003045188,0.003367527,0.002769953,0.001985745,0.000227299,0.001780672,0.001075838,0.001038313,0.004070628,0.001674806,0.0018983,0.000290004,0.001782322,0.001041148,0.000448488,0.00015885,8.42E-05,6.01E-05,1.51E-05
3/26/23,10.825,CR,35.89410019,25.50900078,0.007492908,0.007768668,0.007065309,0.006101764,0.003266914,0.002060583,0.000205651,0.002384439,0.003390526,0.003286171,0.003751586,0.001164963,0.00067591,0.000115003,0.000469946,0.000317324,0.00027287,0.00021192,0.00016575,0.000176913,1.04E-05
4/21/23,10.63611111,CR,36.01869965,24.94499969,0.007886303,0.007996498,0.007208932,0.005804776,0.002686219,0.001557385,0.000151295,0.007507575,0.007414115,0.007536485,0.005805458,0.003482138,0.001358663,6.66E-05,0.00025465,0.000178884,0.000178879,8.13E-05,0.000213057,2.76E-05,0
4/7/23,10.60833333,CR,35.86709976,25.7595005,0.006212832,0.006180045,0.005802836,0.004863941,0.002399149,0.001454617,0.000143816,0.004137368,0.004660039,0.005164755,0.004708376,0.00235032,0.001281819,0.000141392,0.000238435,0.00027631,0.000223133,0.000156988,0.000161748,0.000119219,5.02E-06
3/31/23,10.825,CR,35.77659988,25.80450058,0.006358118,0.006905042,0.006693512,0.005789872,0.002950189,0.001846007,0.000187378,0.006891264,0.006594562,0.006499172,0.00517421,0.002699247,0.001448445,0.000127981,5.70E-05,5.58E-05,9.66E-05,3.91E-05,4.30E-05,2.83E-05,3.63E-06
